# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
6.932e+00	8.880e-03	5.107e-02	1.357e+02	7.807e+02
6.966e+00	8.880e-03	5.107e-02	1.364e+02	7.844e+02
6.999e+00	8.880e-03	5.107e-02	1.370e+02	7.882e+02
7.032e+00	8.880e-03	5.107e-02	1.377e+02	7.919e+02
7.065e+00	8.880e-03	5.107e-02	1.384e+02	7.957e+02
7.099e+00	8.880e-03	5.107e-02	1.390e+02	7.994e+02
7.132e+00	8.880e-03	5.107e-02	1.397e+02	8.032e+02
7.165e+00	8.880e-03	5.107e-02	1.403e+02	8.069e+02
7.199e+00	8.880e-03	5.107e-02	1.410e+02	8.107e+02
7.232e+00	8.880e-03	5.107e-02	1.416e+02	8.144e+02
7.265e+00	8.880e-03	5.107e-02	1.423e+02	8.182e+02
7.299e+00	8.880e-03	5.107e-02	1.429e+02	8.219e+02
7.332e+00	8.880e-03	5.107e-02	1.436e+02	8.257e+02
7.365e+00	8.880e-03	5.107e-02	1.442e+02	8.295e+02
7.399e+00	8.880e-03	5.107e-02	1.449e+02	8.332e+02
7.432e+00	8.880e-03	5.107e-02	1.455e+02	8.370e+02
7.465e+00	8.880e-03	5.107e-02	1.462e+02	8.407e+02
7.499e+00	8.880e-03	5.107e-02	1.468e+02	8.445e+02
7.532e+00	8.880e-03	5.107e-02	1.475e+02	8.482e+02
7.565e+00	8.880e-03	5.107e-02	1.481e+02	8.520e+02
7.599e+00	8.880e-03	5.107e-02	1.488e+02	8.557e+02
7.632e+00	8.880e-03	5.107e-02	1.494e+02	8.595e+02
7.665e+00	8.880e-03	5.107e-02	1.501e+02	8.632e+02
7.699e+00	8.880e-03	5.107e-02	1.508e+02	8.670e+02
7.732e+00	8.880e-03	5.107e-02	1.514e+02	8.707e+02
7.765e+00	8.880e-03	5.107e-02	1.521e+02	8.745e+02
7.799e+00	8.880e-03	5.107e-02	1.527e+02	8.782e+02
7.832e+00	8.880e-03	5.107e-02	1.534e+02	8.820e+02
7.865e+00	8.880e-03	5.107e-02	1.540e+02	8.858e+02
7.899e+00	8.880e-03	5.107e-02	1.547e+02	8.895e+02
7.932e+00	8.880e-03	5.107e-02	1.553e+02	8.933e+02
7.965e+00	8.880e-03	5.107e-02	1.560e+02	8.970e+02
7.999e+00	8.880e-03	5.107e-02	1.566e+02	9.008e+02
8.032e+00	8.880e-03	5.107e-02	1.573e+02	9.045e+02
8.065e+00	8.880e-03	5.107e-02	1.579e+02	9.083e+02
8.099e+00	8.880e-03	5.107e-02	1.586e+02	9.120e+02
8.132e+00	8.880e-03	5.107e-02	1.592e+02	9.158e+02
8.165e+00	8.880e-03	5.107e-02	1.599e+02	9.195e+02
8.199e+00	8.880e-03	5.107e-02	1.605e+02	9.233e+02
8.232e+00	8.880e-03	5.107e-02	1.612e+02	9.270e+02
8.265e+00	8.880e-03	5.107e-02	1.618e+02	9.308e+02
8.299e+00	8.880e-03	5.107e-02	1.625e+02	9.345e+02
8.332e+00	8.880e-03	5.107e-02	1.632e+02	9.383e+02
8.365e+00	8.880e-03	5.107e-02	1.638e+02	9.421e+02
8.399e+00	8.880e-03	5.107e-02	1.645e+02	9.458e+02
8.432e+00	8.880e-03	5.107e-02	1.651e+02	9.496e+02
8.465e+00	8.880e-03	5.107e-02	1.658e+02	9.533e+02
8.499e+00	8.880e-03	5.107e-02	1.664e+02	9.571e+02
8.532e+00	8.880e-03	5.107e-02	1.671e+02	9.608e+02
8.565e+00	8.880e-03	5.107e-02	1.677e+02	9.646e+02
8.599e+00	8.880e-03	5.107e-02	1.684e+02	9.683e+02
8.632e+00	8.880e-03	5.107e-02	1.690e+02	9.721e+02
8.665e+00	8.880e-03	5.107e-02	1.697e+02	9.758e+02
8.699e+00	8.880e-03	5.107e-02	1.703e+02	9.796e+02
8.732e+00	8.880e-03	5.107e-02	1.710e+02	9.833e+02
8.765e+00	8.880e-03	5.107e-02	1.716e+02	9.871e+02
8.799e+00	8.880e-03	5.107e-02	1.723e+02	9.908e+02
8.832e+00	8.880e-03	5.107e-02	1.729e+02	9.946e+02
8.865e+00	8.880e-03	5.107e-02	1.736e+02	9.983e+02
8.899e+00	8.880e-03	5.107e-02	1.742e+02	1.002e+03
8.932e+00	8.880e-03	5.107e-02	1.749e+02	1.006e+03
8.965e+00	8.880e-03	5.107e-02	1.756e+02	1.010e+03
8.999e+00	8.880e-03	5.107e-02	1.762e+02	1.013e+03
9.032e+00	8.880e-03	5.107e-02	1.769e+02	1.017e+03
9.065e+00	8.880e-03	5.107e-02	1.775e+02	1.021e+03
9.098e+00	8.880e-03	5.107e-02	1.782e+02	1.025e+03
9.132e+00	8.880e-03	5.107e-02	1.788e+02	1.028e+03
9.165e+00	8.880e-03	5.107e-02	1.795e+02	1.032e+03
9.198e+00	8.880e-03	5.107e-02	1.801e+02	1.036e+03
9.232e+00	8.880e-03	5.107e-02	1.808e+02	1.040e+03
9.265e+00	8.880e-03	5.107e-02	1.814e+02	1.043e+03
9.298e+00	8.880e-03	5.107e-02	1.821e+02	1.047e+03
9.332e+00	8.880e-03	5.107e-02	1.827e+02	1.051e+03
9.365e+00	8.880e-03	5.107e-02	1.834e+02	1.055e+03
9.398e+00	8.880e-03	5.107e-02	1.840e+02	1.058e+03
9.432e+00	8.880e-03	5.107e-02	1.847e+02	1.062e+03
9.465e+00	8.880e-03	5.107e-02	1.853e+02	1.066e+03
9.498e+00	8.880e-03	5.107e-02	1.860e+02	1.070e+03
9.532e+00	8.880e-03	5.107e-02	1.866e+02	1.073e+03
9.565e+00	8.880e-03	5.107e-02	1.873e+02	1.077e+03
9.598e+00	8.880e-03	5.107e-02	1.880e+02	1.081e+03
9.632e+00	8.880e-03	5.107e-02	1.886e+02	1.085e+03
9.665e+00	8.880e-03	5.107e-02	1.893e+02	1.088e+03
9.698e+00	8.880e-03	5.107e-02	1.899e+02	1.092e+03
9.732e+00	8.880e-03	5.107e-02	1.906e+02	1.096e+03
9.765e+00	8.880e-03	5.107e-02	1.912e+02	1.100e+03
9.798e+00	8.880e-03	5.107e-02	1.919e+02	1.103e+03
9.832e+00	8.880e-03	5.107e-02	1.925e+02	1.107e+03
9.865e+00	8.880e-03	5.107e-02	1.932e+02	1.111e+03
9.898e+00	8.880e-03	5.107e-02	1.938e+02	1.115e+03
9.932e+00	8.880e-03	5.107e-02	1.945e+02	1.118e+03
9.965e+00	8.880e-03	5.107e-02	1.951e+02	1.122e+03
9.998e+00	8.880e-03	5.107e-02	1.958e+02	1.126e+03
1.003e+01	8.880e-03	5.107e-02	1.964e+02	1.130e+03
1.006e+01	8.880e-03	5.107e-02	1.971e+02	1.133e+03
1.010e+01	8.880e-03	5.107e-02	1.977e+02	1.137e+03
1.013e+01	8.880e-03	5.107e-02	1.984e+02	1.141e+03
1.016e+01	8.880e-03	5.107e-02	1.990e+02	1.145e+03
1.020e+01	8.880e-03	5.107e-02	1.997e+02	1.148e+03
1.023e+01	8.880e-03	5.107e-02	2.003e+02	1.152e+03
1.026e+01	8.880e-03	5.107e-02	2.010e+02	1.156e+03
1.030e+01	8.880e-03	5.107e-02	2.017e+02	1.160e+03
1.033e+01	8.880e-03	5.107e-02	2.023e+02	1.163e+03
1.036e+01	8.880e-03	5.107e-02	2.030e+02	1.167e+03
1.040e+01	8.880e-03	5.107e-02	2.036e+02	1.171e+03
1.043e+01	8.880e-03	5.107e-02	2.043e+02	1.175e+03
1.046e+01	8.880e-03	5.107e-02	2.049e+02	1.179e+03
1.050e+01	8.880e-03	5.107e-02	2.056e+02	1.182e+03
1.053e+01	8.880e-03	5.107e-02	2.062e+02	1.186e+03
1.056e+01	8.880e-03	5.107e-02	2.069e+02	1.190e+03
1.060e+01	8.880e-03	5.107e-02	2.075e+02	1.194e+03
1.063e+01	8.880e-03	5.107e-02	2.082e+02	1.197e+03
1.066e+01	8.880e-03	5.107e-02	2.088e+02	1.201e+03
1.070e+01	8.880e-03	5.107e-02	2.095e+02	1.205e+03
1.073e+01	8.880e-03	5.107e-02	2.101e+02	1.209e+03
1.076e+01	8.880e-03	5.107e-02	2.108e+02	1.212e+03
1.080e+01	8.880e-03	5.107e-02	2.114e+02	1.216e+03
1.083e+01	8.880e-03	5.107e-02	2.121e+02	1.220e+03
1.086e+01	8.880e-03	5.107e-02	2.127e+02	1.224e+03
1.090e+01	8.880e-03	5.107e-02	2.134e+02	1.227e+03
1.093e+01	8.880e-03	5.107e-02	2.141e+02	1.231e+03
1.096e+01	8.880e-03	5.107e-02	2.147e+02	1.235e+03
1.100e+01	8.880e-03	5.107e-02	2.154e+02	1.239e+03
1.103e+01	8.880e-03	5.107e-02	2.160e+02	1.242e+03
1.106e+01	8.880e-03	5.107e-02	2.167e+02	1.246e+03
1.110e+01	8.880e-03	5.107e-02	2.173e+02	1.250e+03
1.113e+01	8.880e-03	5.107e-02	2.180e+02	1.254e+03
1.116e+01	8.880e-03	5.107e-02	2.186e+02	1.257e+03
1.120e+01	8.880e-03	5.107e-02	2.193e+02	1.261e+03
1.123e+01	8.880e-03	5.107e-02	2.199e+02	1.265e+03
1.126e+01	8.880e-03	5.107e-02	2.206e+02	1.269e+03
1.130e+01	8.880e-03	5.107e-02	2.212e+02	1.272e+03
1.133e+01	8.880e-03	5.107e-02	2.219e+02	1.276e+03
1.136e+01	8.880e-03	5.107e-02	2.225e+02	1.280e+03
1.140e+01	8.880e-03	5.107e-02	2.232e+02	1.284e+03
1.143e+01	8.880e-03	5.107e-02	2.238e+02	1.287e+03
1.146e+01	8.880e-03	5.107e-02	2.245e+02	1.291e+03
1.150e+01	8.880e-03	5.107e-02	2.251e+02	1.295e+03
1.153e+01	8.880e-03	5.107e-02	2.258e+02	1.299e+03
1.156e+01	8.880e-03	5.107e-02	2.265e+02	1.302e+03
1.160e+01	8.880e-03	5.107e-02	2.271e+02	1.306e+03
1.163e+01	8.880e-03	5.107e-02	2.278e+02	1.310e+03
1.166e+01	8.880e-03	5.107e-02	2.284e+02	1.314e+03
1.170e+01	8.880e-03	5.107e-02	2.291e+02	1.317e+03
1.173e+01	8.880e-03	5.107e-02	2.297e+02	1.321e+03
1.176e+01	8.880e-03	5.107e-02	2.304e+02	1.325e+03
1.180e+01	8.880e-03	5.107e-02	2.310e+02	1.329e+03
1.183e+01	8.880e-03	5.107e-02	2.317e+02	1.332e+03
1.186e+01	8.880e-03	5.107e-02	2.323e+02	1.336e+03
1.190e+01	8.880e-03	5.107e-02	2.330e+02	1.340e+03
1.193e+01	8.880e-03	5.107e-02	2.336e+02	1.344e+03
1.196e+01	8.880e-03	5.107e-02	2.343e+02	1.347e+03
1.200e+01	8.880e-03	5.107e-02	2.349e+02	1.351e+03
1.203e+01	8.880e-03	5.107e-02	2.356e+02	1.355e+03
1.206e+01	8.880e-03	5.107e-02	2.362e+02	1.359e+03
1.210e+01	8.880e-03	5.107e-02	2.369e+02	1.362e+03
1.213e+01	8.880e-03	5.107e-02	2.375e+02	1.366e+03
1.216e+01	8.880e-03	5.107e-02	2.382e+02	1.370e+03
1.220e+01	8.880e-03	5.107e-02	2.389e+02	1.374e+03
1.223e+01	8.880e-03	5.107e-02	2.395e+02	1.377e+03
1.226e+01	8.880e-03	5.107e-02	2.402e+02	1.381e+03
1.230e+01	8.880e-03	5.107e-02	2.408e+02	1.385e+03
1.233e+01	8.880e-03	5.107e-02	2.415e+02	1.389e+03
1.236e+01	8.880e-03	5.107e-02	2.421e+02	1.392e+03
1.240e+01	8.880e-03	5.107e-02	2.428e+02	1.396e+03
1.243e+01	8.880e-03	5.107e-02	2.434e+02	1.400e+03
1.246e+01	8.880e-03	5.107e-02	2.441e+02	1.404e+03
1.250e+01	8.880e-03	5.107e-02	2.447e+02	1.407e+03
1.253e+01	8.880e-03	5.107e-02	2.454e+02	1.411e+03
1.256e+01	8.880e-03	5.107e-02	2.460e+02	1.415e+03
1.260e+01	8.880e-03	5.107e-02	2.467e+02	1.419e+03
1.263e+01	8.880e-03	5.107e-02	2.473e+02	1.422e+03
1.266e+01	8.880e-03	5.107e-02	2.480e+02	1.426e+03
1.270e+01	8.880e-03	5.107e-02	2.486e+02	1.430e+03
1.273e+01	8.880e-03	5.107e-02	2.493e+02	1.434e+03
1.276e+01	8.880e-03	5.107e-02	2.499e+02	1.437e+03
1.280e+01	8.880e-03	5.107e-02	2.506e+02	1.441e+03
1.283e+01	8.880e-03	5.107e-02	2.513e+02	1.445e+03
1.286e+01	8.880e-03	5.107e-02	2.519e+02	1.449e+03
1.290e+01	8.880e-03	5.107e-02	2.526e+02	1.452e+03
1.293e+01	8.880e-03	5.107e-02	2.532e+02	1.456e+03
1.296e+01	8.880e-03	5.107e-02	2.539e+02	1.460e+03
1.300e+01	8.880e-03	5.107e-02	2.545e+02	1.464e+03
1.303e+01	8.880e-03	5.107e-02	2.552e+02	1.467e+03
1.306e+01	8.880e-03	5.107e-02	2.558e+02	1.471e+03
1.310e+01	8.880e-03	5.107e-02	2.565e+02	1.475e+03
1.313e+01	8.880e-03	5.107e-02	2.571e+02	1.479e+03
1.316e+01	8.880e-03	5.107e-02	2.578e+02	1.483e+03
1.320e+01	8.880e-03	5.107e-02	2.584e+02	1.486e+03
1.323e+01	8.880e-03	5.107e-02	2.591e+02	1.490e+03
1.326e+01	8.880e-03	5.107e-02	2.597e+02	1.494e+03
1.330e+01	8.880e-03	5.107e-02	2.604e+02	1.498e+03
1.333e+01	8.880e-03	5.107e-02	2.610e+02	1.501e+03
1.336e+01	8.880e-03	5.107e-02	2.617e+02	1.505e+03
1.340e+01	8.880e-03	5.107e-02	2.623e+02	1.509e+03
1.343e+01	8.880e-03	5.107e-02	2.630e+02	1.513e+03
1.346e+01	8.880e-03	5.107e-02	2.637e+02	1.516e+03
1.350e+01	8.880e-03	5.107e-02	2.643e+02	1.520e+03
1.353e+01	8.880e-03	5.107e-02	2.650e+02	1.524e+03
1.356e+01	8.880e-03	5.107e-02	2.656e+02	1.528e+03
1.360e+01	8.880e-03	5.107e-02	2.663e+02	1.531e+03
1.363e+01	8.880e-03	5.107e-02	2.669e+02	1.535e+03
1.366e+01	8.880e-03	5.107e-02	2.676e+02	1.539e+03
1.370e+01	8.880e-03	5.107e-02	2.682e+02	1.543e+03
1.373e+01	8.880e-03	5.107e-02	2.689e+02	1.546e+03
1.376e+01	8.880e-03	5.107e-02	2.695e+02	1.550e+03
1.380e+01	8.880e-03	5.107e-02	2.702e+02	1.554e+03
1.383e+01	8.880e-03	5.107e-02	2.708e+02	1.558e+03
1.386e+01	8.880e-03	5.107e-02	2.715e+02	1.561e+03
1.390e+01	8.880e-03	5.107e-02	2.721e+02	1.565e+03
1.393e+01	8.880e-03	5.107e-02	2.728e+02	1.569e+03
1.396e+01	8.880e-03	5.107e-02	2.734e+02	1.573e+03
1.400e+01	8.880e-03	5.107e-02	2.741e+02	1.576e+03
