# WaveDec output file
# Frequency	Amplitude	Wavenumber	Velocity	Azimuth	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]	[rad]
6.399e+00	1.510e-03	3.221e-02	1.987e+02	8.270e-01	6.658e-01
6.649e+00	1.389e-03	3.476e-02	1.913e+02	-1.112e-01	8.043e-01
6.899e+00	1.226e-03	3.924e-02	1.758e+02	5.348e-01	8.180e-01
7.149e+00	1.204e-03	1.700e-02	4.204e+02	2.710e+00	-9.757e-01
7.399e+00	9.995e-04	3.835e-02	1.929e+02	6.278e-01	7.421e-01
7.649e+00	1.252e-03	4.119e-02	1.857e+02	5.921e-01	7.452e-01
7.849e+00	1.176e-03	4.282e-02	1.833e+02	6.863e-01	6.238e-01
8.099e+00	1.014e-03	3.969e-02	2.040e+02	2.808e+00	5.417e-01
8.349e+00	9.921e-04	4.159e-02	2.007e+02	-7.247e-01	3.904e-01
8.599e+00	8.159e-04	4.916e-02	1.749e+02	-5.936e-01	2.053e-01
8.849e+00	9.019e-04	5.006e-02	1.767e+02	6.445e-01	3.310e-01
9.099e+00	8.991e-04	4.600e-02	1.978e+02	3.534e-01	3.516e-01
9.349e+00	6.701e-04	5.722e-02	1.634e+02	3.833e-01	5.239e-01
9.849e+00	6.704e-04	6.340e-02	1.554e+02	-7.816e-01	3.258e-01
1.060e+01	6.575e-04	5.372e-02	1.973e+02	5.237e-01	5.289e-01
3.950e+00	2.053e-03	1.340e-02	2.947e+02	-9.097e-01	3.891e-01
4.199e+00	1.383e-03	1.081e-02	3.884e+02	3.563e-02	4.552e-01
4.449e+00	1.186e-03	1.648e-02	2.700e+02	-8.981e-01	4.796e-01
4.699e+00	1.399e-03	1.532e-02	3.068e+02	2.834e-01	8.155e-01
5.399e+00	1.283e-03	1.293e-02	4.175e+02	-2.274e+00	-1.596e+00
5.649e+00	1.176e-03	1.389e-02	4.067e+02	4.035e-01	-1.179e+00
6.149e+00	8.656e-04	2.290e-02	2.685e+02	-2.244e+00	-6.660e-01
6.649e+00	8.033e-04	3.330e-02	1.997e+02	1.302e+00	4.860e-01
6.899e+00	7.118e-04	4.233e-02	1.630e+02	1.033e+00	2.536e-01
7.399e+00	7.155e-04	3.615e-02	2.047e+02	-1.236e+00	-8.892e-02
7.649e+00	7.487e-04	3.999e-02	1.913e+02	-1.058e+00	5.513e-01
