# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
7.200e+01	4.688e+03	4.274e-01	1.685e+02	2.805e-01
7.200e+01	5.682e+03	8.865e-01	8.122e+01	3.308e-01
7.400e+01	7.782e+03	1.748e-01	4.232e+02	-2.584e-01
7.400e+01	1.016e+04	3.029e-01	2.443e+02	1.260e-01
7.400e+01	1.529e+03	5.732e-02	1.291e+03	-6.036e-01
7.400e+01	2.240e+03	2.288e-01	3.234e+02	6.675e-01
7.400e+01	4.748e+03	4.465e-01	1.657e+02	-3.238e-02
7.600e+01	1.185e+04	3.107e-01	2.446e+02	1.371e-01
7.600e+01	7.510e+03	1.805e-01	4.210e+02	-2.833e-01
7.600e+01	1.480e+03	6.820e-02	1.114e+03	-9.721e-01
7.600e+01	6.346e+03	4.545e-01	1.672e+02	-7.407e-02
7.600e+01	6.201e+03	5.778e-01	1.315e+02	-1.052e-01
7.800e+01	9.808e+03	3.222e-01	2.421e+02	1.876e-01
7.800e+01	5.038e+03	1.878e-01	4.153e+02	-4.616e-01
7.800e+01	1.484e+03	7.314e-02	1.066e+03	1.125e+00
7.800e+01	6.033e+03	4.622e-01	1.687e+02	1.564e-01
7.800e+01	5.993e+03	5.917e-01	1.318e+02	-1.857e-02
8.000e+01	4.384e+03	1.933e-01	4.139e+02	-4.474e-01
8.000e+01	6.191e+03	3.299e-01	2.425e+02	3.141e-01
8.000e+01	1.084e+03	8.406e-02	9.518e+02	8.137e-01
8.000e+01	2.289e+03	3.592e-01	2.227e+02	1.029e+00
8.000e+01	2.244e+03	1.629e-01	4.912e+02	-4.494e-01
8.200e+01	6.031e+03	1.960e-01	4.183e+02	-4.238e-01
8.200e+01	5.258e+03	3.363e-01	2.438e+02	4.431e-01
8.200e+01	3.501e+03	1.724e-01	4.757e+02	-5.356e-01
8.200e+01	3.081e+03	3.595e-01	2.281e+02	7.509e-01
8.200e+01	4.805e+03	9.566e-01	8.572e+01	-1.862e-01
8.400e+01	6.148e+03	2.011e-01	4.178e+02	-4.616e-01
8.400e+01	3.662e+03	1.802e-01	4.662e+02	-5.897e-01
8.400e+01	2.539e+03	3.427e-01	2.451e+02	6.134e-01
8.400e+01	2.716e+03	2.697e-01	3.114e+02	3.270e-01
8.400e+01	4.019e+03	8.946e-01	9.389e+01	2.172e-01
8.600e+01	4.688e+03	2.066e-01	4.163e+02	-4.683e-01
8.600e+01	3.608e+03	2.686e-01	3.202e+02	1.962e-01
8.600e+01	4.001e+03	3.500e-01	2.457e+02	5.654e-01
8.600e+01	4.601e+03	3.790e-01	2.269e+02	4.145e-01
8.600e+01	4.596e+03	8.967e-01	9.591e+01	1.780e-01
8.800e+01	4.818e+03	2.117e-01	4.156e+02	-4.516e-01
8.800e+01	4.149e+03	3.810e-01	2.310e+02	1.668e-01
8.800e+01	1.943e+03	5.968e-01	1.474e+02	-1.292e+00
8.800e+01	2.053e+03	1.207e-01	7.291e+02	4.339e-02
8.800e+01	4.324e+03	6.815e-01	1.291e+02	-2.748e-02
9.000e+01	3.436e+03	2.207e-01	4.078e+02	-4.595e-01
9.000e+01	2.458e+03	1.200e-01	7.498e+02	-8.306e-03
9.000e+01	4.848e+03	3.944e-01	2.282e+02	5.099e-02
9.000e+01	4.992e+03	5.971e-01	1.507e+02	-1.547e-01
9.000e+01	1.025e+03	6.860e-02	1.312e+03	-5.618e-01
9.200e+01	2.855e+03	2.266e-01	4.061e+02	-4.864e-01
9.200e+01	2.845e+03	1.226e-01	7.507e+02	-3.340e-02
9.200e+01	5.748e+03	6.115e-01	1.505e+02	1.082e-02
9.200e+01	3.711e+03	4.090e-01	2.250e+02	-6.947e-03
9.200e+01	7.496e+02	8.130e-02	1.132e+03	-1.245e+00
9.400e+01	1.490e+03	1.140e-01	8.242e+02	-3.364e-01
9.400e+01	5.085e+03	6.303e-01	1.491e+02	6.559e-02
9.400e+01	1.448e+03	2.324e-01	4.044e+02	-8.089e-01
9.400e+01	3.653e+03	6.935e-01	1.355e+02	-2.241e-02
9.400e+01	6.118e+02	9.014e-02	1.043e+03	1.229e+00
9.600e+01	4.676e+03	6.350e-01	1.512e+02	2.121e-02
9.600e+01	7.806e+02	1.105e-01	8.690e+02	-1.081e+00
9.600e+01	9.365e+02	2.408e-01	3.987e+02	1.145e+00
9.600e+01	3.448e+03	6.946e-01	1.382e+02	-6.904e-02
9.600e+01	6.486e+02	8.381e-02	1.145e+03	6.014e-01
9.800e+01	1.130e+03	2.578e-01	3.802e+02	-9.417e-01
9.800e+01	3.742e+03	6.433e-01	1.523e+02	1.332e-01
9.800e+01	3.813e+03	9.029e-01	1.085e+02	3.413e-02
9.800e+01	3.551e+03	8.410e-01	1.165e+02	-1.230e-01
9.800e+01	4.982e+02	1.101e-01	8.904e+02	1.346e+00
1.000e+02	1.034e+03	2.638e-01	3.791e+02	-1.488e+00
1.000e+02	3.836e+03	8.489e-01	1.178e+02	-1.819e-01
1.000e+02	2.515e+03	3.323e-01	3.010e+02	-3.389e-02
1.000e+02	3.643e+03	6.671e-01	1.499e+02	7.377e-02
1.000e+02	3.402e+03	9.155e-01	1.092e+02	6.029e-02
1.020e+02	3.808e+03	3.230e-01	3.157e+02	-3.306e-01
1.020e+02	2.566e+03	2.529e-01	4.033e+02	-7.637e-01
1.020e+02	4.323e+03	2.862e-01	3.564e+02	-5.570e-01
1.020e+02	1.019e+03	1.367e-01	7.464e+02	-7.006e-01
1.020e+02	3.187e+03	8.554e-01	1.192e+02	-1.842e-01
1.040e+02	2.490e+03	2.667e-01	3.899e+02	-6.237e-01
1.040e+02	1.746e+03	1.224e-01	8.494e+02	-6.354e-01
1.040e+02	2.291e+03	2.407e-01	4.320e+02	-6.925e-01
1.040e+02	1.282e+03	9.391e-02	1.107e+03	-5.413e-01
1.040e+02	2.927e+03	8.593e-01	1.210e+02	-1.755e-01
1.060e+02	2.868e+03	2.701e-01	3.924e+02	-5.864e-01
1.060e+02	1.240e+03	1.116e-01	9.499e+02	-3.219e-01
1.060e+02	1.523e+03	2.551e-01	4.155e+02	1.117e+00
1.060e+02	1.795e+03	3.536e-01	2.997e+02	1.436e-01
1.060e+02	1.955e+03	4.183e-01	2.534e+02	-2.120e-01
1.080e+02	1.928e+03	2.754e-01	3.922e+02	-1.645e+00
1.080e+02	1.903e+03	3.055e-01	3.535e+02	-1.194e+00
1.080e+02	1.659e+03	2.559e-01	4.221e+02	2.618e-01
1.080e+02	9.275e+02	3.417e-01	3.160e+02	1.839e+00
1.080e+02	1.663e+03	5.224e-01	2.067e+02	1.932e-01
1.100e+02	1.581e+03	2.883e-01	3.816e+02	-1.285e+00
1.100e+02	1.654e+03	3.228e-01	3.407e+02	-1.458e+00
1.100e+02	1.112e+03	3.536e-01	3.111e+02	-1.272e+00
1.100e+02	4.755e+02	1.377e-01	7.986e+02	-9.136e-01
1.120e+02	1.345e+03	2.993e-01	3.742e+02	-1.075e+00
1.120e+02	5.562e+02	1.415e-01	7.916e+02	-1.065e+00
1.120e+02	1.345e+03	3.322e-01	3.371e+02	1.634e+00
1.120e+02	8.536e+02	3.637e-01	3.079e+02	1.492e+00
1.140e+02	1.125e+03	2.962e-01	3.849e+02	-5.885e-01
1.140e+02	5.494e+02	1.491e-01	7.647e+02	-8.408e-01
1.160e+02	2.085e+03	3.042e-01	3.814e+02	-5.486e-01
1.160e+02	1.936e+03	3.346e-01	3.467e+02	-6.165e-01
1.160e+02	1.206e+03	3.697e-01	3.137e+02	-1.075e+00
1.180e+02	2.015e+03	3.073e-01	3.840e+02	-8.951e-01
1.180e+02	2.067e+03	3.383e-01	3.488e+02	-7.573e-01
1.180e+02	1.317e+03	2.944e-01	4.009e+02	6.498e-01
1.180e+02	1.412e+03	3.742e-01	3.153e+02	-7.660e-01
1.180e+02	1.307e+03	4.616e-01	2.556e+02	-3.484e-01
1.200e+02	1.105e+03	3.149e-01	3.811e+02	-7.092e-01
1.220e+02	7.354e+02	3.248e-01	3.757e+02	-8.511e-01
1.000e+01	3.172e+02	2.544e-02	3.930e+02	1.332e+00
1.200e+01	5.791e+02	3.701e-02	3.242e+02	1.028e+00
1.400e+01	7.654e+02	4.566e-02	3.066e+02	8.639e-01
1.600e+01	1.055e+03	5.323e-02	3.006e+02	9.073e-01
1.800e+01	1.405e+03	6.258e-02	2.877e+02	8.442e-01
2.000e+01	1.677e+03	7.091e-02	2.820e+02	8.555e-01
2.200e+01	1.926e+03	7.687e-02	2.862e+02	8.234e-01
2.200e+01	5.405e+02	3.885e-02	5.663e+02	-4.337e-01
2.400e+01	2.375e+03	8.503e-02	2.823e+02	8.735e-01
2.600e+01	2.757e+03	9.189e-02	2.829e+02	8.281e-01
2.600e+01	2.099e+03	4.187e-01	6.209e+01	-4.408e-02
2.800e+01	3.074e+03	1.007e-01	2.782e+02	8.094e-01
2.800e+01	2.514e+03	4.274e-01	6.551e+01	-9.466e-03
2.800e+01	3.826e+02	4.061e-02	6.896e+02	1.273e+00
3.000e+01	3.832e+03	1.068e-01	2.809e+02	7.611e-01
3.000e+01	2.755e+03	4.486e-01	6.687e+01	-1.146e-02
3.200e+01	4.270e+03	1.142e-01	2.803e+02	7.362e-01
3.200e+01	2.864e+03	4.603e-01	6.952e+01	-3.962e-02
3.400e+01	6.201e+03	1.211e-01	2.807e+02	6.507e-01
3.400e+01	1.182e+03	4.623e-02	7.354e+02	-1.225e-01
3.400e+01	2.329e+03	4.364e-01	7.790e+01	-1.122e-01
3.400e+01	3.217e+03	7.293e-01	4.662e+01	-9.371e-02
3.600e+01	6.528e+03	1.301e-01	2.767e+02	6.432e-01
